,diesel,petrol
Panna,95.48 ₹/L,110.38 ₹/L
Papumpare,82.27 ₹/L,92.83 ₹/L
Parbhani,95.21 ₹/L,108.79 ₹/L
Paschim Bardhaman,92.61 ₹/L,105.86 ₹/L
Paschim Medinipur,93.33 ₹/L,106.67 ₹/L
Patan,92.22 ₹/L,96.46 ₹/L
Pathananthitta,97.67 ₹/L,108.81 ₹/L
Pathankot,88.45 ₹/L,98.12 ₹/L
Patiala,87.52 ₹/L,97.17 ₹/L
Patna,94.04 ₹/L,107.24 ₹/L
Pauri,90.38 ₹/L,95.29 ₹/L
Peddapalli,98.44 ₹/L,110.34 ₹/L
Perambalur,95.01 ₹/L,103.38 ₹/L
Peren,86.99 ₹/L,98.65 ₹/L
Phek,89.10 ₹/L,101.14 ₹/L
Pherzawl,88.78 ₹/L,103.02 ₹/L
Pilibhit,90.31 ₹/L,97.15 ₹/L
Pithoragarh,92.75 ₹/L,97.96 ₹/L
Pondicherry,86.33 ₹/L,96.16 ₹/L
Poonch,85.83 ₹/L,100.60 ₹/L
Porbander,92.52 ₹/L,96.77 ₹/L
Prakasam,99.75 ₹/L,112.05 ₹/L
Pratapgarh,94.21 ₹/L,109.01 ₹/L
Pudukkottai,95.30 ₹/L,103.68 ₹/L
Pulwama,86.91 ₹/L,101.92 ₹/L
Pune,92.30 ₹/L,105.77 ₹/L
Purba Bardhaman,93.10 ₹/L,106.39 ₹/L
Purba Medinipur,92.75 ₹/L,106.05 ₹/L
Puri,95.16 ₹/L,103.61 ₹/L
Purnia,95.39 ₹/L,108.71 ₹/L
Purulia,93.53 ₹/L,106.85 ₹/L
Rae Bareli,89.87 ₹/L,96.68 ₹/L
Raichur,88.59 ₹/L,102.67 ₹/L
Raigarh,95.73 ₹/L,102.75 ₹/L
Raipur,95.44 ₹/L,102.45 ₹/L
Raisen,94.08 ₹/L,108.84 ₹/L
Rajanna Sircilla,98.30 ₹/L,110.18 ₹/L
Rajgarh,94.71 ₹/L,109.53 ₹/L
Rajkot,91.94 ₹/L,96.18 ₹/L
Rajnandgaon,95.84 ₹/L,102.86 ₹/L
